company_name, compressed, ctm_odate, data_center, description, dest, dst_path, duration, encryption, end_time, end_time_update, error_category, error_code, file_name, file_size, file_transfer_end_time, file_transfer_start_time, ftid, gateway_address, group_name, integrity_check, job_name, job_run_count, last_updated, memname, mft_host, mft_ip, order_id, parent_ft, parent_type, progress, protocol_dest, protocol_src, remaining_time, retry_counter, sched_table, site_name, src, src_path, start_time, status, status_reason, transfer_duration, transfer_number, transfer_type, transferred_size, tz_offset, update_time, username
,N,20230508,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,22087,No,20230508150033,2023-05-08 10:01:02.287813,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150031,20230508150011,168355801151600_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-08 10:01:02.287813, ,ctma.trybmc.local,192.168.100.22,00b4y,00b4y_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.0wZYUyFKqR.bin,20230508150011,2,,20075,1,Internal,1000000000,-05:00,2023050810003360300,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,575053,No,20230509151425,2023-05-09 10:14:54.066526,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151425,20230509150450,168364469012400_ctmproxy.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.066526, ,ctmproxy.trybmc.local,192.168.100.20,00b7x,00b7x_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,575052,1,Internal,10000000000,-05:00,2023050910142517601,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,63069,No,20230508150138,2023-05-08 10:02:32.480688,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150138,20230508150035,168355803524200_ctmarch.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.480688, ,ctmarch.trybmc.local,192.168.100.25,00b50,00b50_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,63068,1,Internal,1000000000,-05:00,2023050810013831100,ctmag
,N,20230509,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,215231,No,20230509150448,2023-05-09 10:04:53.043908,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509150446,20230509150113,168364447301400_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-09 10:04:53.043908, ,ctma.trybmc.local,192.168.100.22,00b7s,00b7s_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.QV1jUJ7wR7.bin,20230509150113,2,,213400,1,Internal,10000000000,-05:00,2023050910044824500,ctmag
,N,20230510,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.q1horVQVW3.bin,44703,No,20230510150102,2023-05-10 10:01:15.900907,0,0,data.q1horVQVW3.bin,2000000000,20230510150101,20230510150018,168373081828900_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-10 10:01:15.900907, ,ctma.trybmc.local,192.168.100.22,00bar,00bar_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.q1horVQVW3.bin,20230510150018,2,,43143,1,Internal,2000000000,-05:00,2023051010010299200,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,575137,No,20230509151425,2023-05-09 10:14:54.071867,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151425,20230509150450,168364469061300_ctmcore.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.071867, ,ctmcore.trybmc.local,192.168.100.21,00b7w,00b7w_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,575136,1,Internal,10000000000,-05:00,2023050910142575000,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,575548,No,20230509151425,2023-05-09 10:14:54.075379,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151425,20230509150450,168364469010400_ctmarch.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.075379, ,ctmarch.trybmc.local,192.168.100.25,00b7u,00b7u_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,575547,1,Internal,10000000000,-05:00,2023050910142565200,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,57167,No,20230508150132,2023-05-08 10:02:32.460808,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150132,20230508150035,168355803514800_ctmb.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.460808, ,ctmb.trybmc.local,192.168.100.23,00b51,00b51_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,57166,1,Internal,1000000000,-05:00,2023050810013231500,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,578135,No,20230509151428,2023-05-09 10:14:54.082944,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151428,20230509150450,168364469063100_ctmb.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.082944, ,ctmb.trybmc.local,192.168.100.23,00b7v,00b7v_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,578134,1,Internal,10000000000,-05:00,2023050910142876501,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,61829,No,20230508150137,2023-05-08 10:02:32.465109,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150137,20230508150035,168355803542800_ctmcore.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.465109, ,ctmcore.trybmc.local,192.168.100.21,00b52,00b52_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,61828,1,Internal,1000000000,-05:00,2023050810013725700,ctmag
,N,20230509,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,581567,No,20230509151431,2023-05-09 10:14:54.085476,0,0,data.QV1jUJ7wR7.bin,10000000000,20230509151431,20230509150450,168364469019700_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-09 10:14:54.085476, ,ctma.trybmc.local,192.168.100.22,00b7t,00b7t_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.QV1jUJ7wR7.bin,20230509150450,2,,581566,1,Internal,10000000000,-05:00,2023050910143176400,ctmag
,N,20230511,ctmcore.trybmc.local,,ctmb.trybmc.local,/data.ivjqdUjNqB.bin,44215,No,20230511150102,2023-05-11 10:01:36.726732,0,0,data.ivjqdUjNqB.bin,2000000000,20230511150101,20230511150018,168381721857600_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PUSH,1,2023-05-11 10:01:36.726732, ,ctma.trybmc.local,192.168.100.22,00bdq,00bdq_1_1,5,100,SFTP,Local,0,0,MPS_FILETRANSFER_TEST,,localhost,/opt/data/data.ivjqdUjNqB.bin,20230511150018,2,,42999,1,Internal,2000000000,-05:00,2023051110010279100,ctmag
,N,20230511,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,123167,No,20230511150308,2023-05-11 10:03:37.667605,0,0,data.ivjqdUjNqB.bin,2000000000,20230511150308,20230511150105,168381726514900_ctmproxy.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-11 10:03:37.667605, ,ctmproxy.trybmc.local,192.168.100.20,00bdv,00bdv_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.ivjqdUjNqB.bin,20230511150105,2,,123165,1,Internal,2000000000,-05:00,2023051110030831500,ctmag
,N,20230510,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,118856,No,20230510150303,2023-05-10 10:03:16.101754,0,0,data.q1horVQVW3.bin,2000000000,20230510150303,20230510150104,168373086493700_ctmcore.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-10 10:03:16.101754, ,ctmcore.trybmc.local,192.168.100.21,00bav,00bav_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.q1horVQVW3.bin,20230510150104,2,,118855,1,Internal,2000000000,-05:00,2023051010030379300,ctmag
,N,20230510,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,120012,No,20230510150305,2023-05-10 10:03:16.109066,0,0,data.q1horVQVW3.bin,2000000000,20230510150305,20230510150105,168373086533300_ctmproxy.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-10 10:03:16.109066, ,ctmproxy.trybmc.local,192.168.100.20,00baw,00baw_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.q1horVQVW3.bin,20230510150105,2,,120011,1,Internal,2000000000,-05:00,2023051010030534500,ctmag
,N,20230510,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,121503,No,20230510150306,2023-05-10 10:03:16.111884,0,0,data.q1horVQVW3.bin,2000000000,20230510150306,20230510150105,168373086549300_ctmarch.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-10 10:03:16.111884, ,ctmarch.trybmc.local,192.168.100.25,00bat,00bat_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.q1horVQVW3.bin,20230510150105,2,,121502,1,Internal,2000000000,-05:00,2023051010030699600,ctmag
,N,20230510,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,121957,No,20230510150307,2023-05-10 10:03:16.114832,0,0,data.q1horVQVW3.bin,2000000000,20230510150307,20230510150105,168373086558300_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-10 10:03:16.114832, ,ctma.trybmc.local,192.168.100.22,00bas,00bas_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.q1horVQVW3.bin,20230510150105,2,,121955,1,Internal,2000000000,-05:00,2023051010030753901,ctmag
,N,20230510,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,121539,No,20230510150307,2023-05-10 10:03:16.121845,0,0,data.q1horVQVW3.bin,2000000000,20230510150307,20230510150105,168373086573400_ctmb.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-10 10:03:16.121845, ,ctmb.trybmc.local,192.168.100.23,00bau,00bau_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.q1horVQVW3.bin,20230510150105,2,,121538,1,Internal,2000000000,-05:00,2023051010030727300,ctmag
,N,20230511,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,124835,No,20230511150309,2023-05-11 10:03:37.682865,0,0,data.ivjqdUjNqB.bin,2000000000,20230511150309,20230511150104,168381726469000_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-11 10:03:37.682865, ,ctma.trybmc.local,192.168.100.22,00bdr,00bdr_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.ivjqdUjNqB.bin,20230511150104,2,,124834,1,Internal,2000000000,-05:00,2023051110030952500,ctmag
,N,20230511,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,122998,No,20230511150307,2023-05-11 10:03:37.659078,0,0,data.ivjqdUjNqB.bin,2000000000,20230511150307,20230511150104,168381726477200_ctmcore.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-11 10:03:37.659078, ,ctmcore.trybmc.local,192.168.100.21,00bdu,00bdu_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.ivjqdUjNqB.bin,20230511150104,2,,122997,1,Internal,2000000000,-05:00,2023051110030777000,ctmag
,N,20230511,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,122513,No,20230511150307,2023-05-11 10:03:37.662201,0,0,data.ivjqdUjNqB.bin,2000000000,20230511150307,20230511150105,168381726545000_ctmarch.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-11 10:03:37.662201, ,ctmarch.trybmc.local,192.168.100.25,00bds,00bds_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.ivjqdUjNqB.bin,20230511150105,2,,122512,1,Internal,2000000000,-05:00,2023051110030796300,ctmag
,N,20230511,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,123422,No,20230511150308,2023-05-11 10:03:37.679455,0,0,data.ivjqdUjNqB.bin,2000000000,20230511150308,20230511150105,168381726538700_ctmb.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-11 10:03:37.679455, ,ctmb.trybmc.local,192.168.100.23,00bdt,00bdt_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.ivjqdUjNqB.bin,20230511150105,2,,123421,1,Internal,2000000000,-05:00,2023051110030880900,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,62230,No,20230508150138,2023-05-08 10:02:32.474687,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150138,20230508150036,168355803613200_ctmproxy.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.474687, ,ctmproxy.trybmc.local,192.168.100.20,00b53,00b53_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150036,2,,62228,1,Internal,1000000000,-05:00,2023050810013836200,ctmag
,N,20230508,ctmcore.trybmc.local,,localhost,/opt/data/pull.data.bin,62570,No,20230508150138,2023-05-08 10:02:32.478315,0,0,data.0wZYUyFKqR.bin,1000000000,20230508150138,20230508150035,168355803570000_ctma.trybmc.local_MPS_LOCAL+MPS_TEAM_OPS,,Netdata,48,MPS_DEMO_DATA_PULL,1,2023-05-08 10:02:32.478315, ,ctma.trybmc.local,192.168.100.22,00b4z,00b4z_1_1,5,100,Local,SFTP,0,0,MPS_FILETRANSFER_TEST,,ctmb.trybmc.local,/data.0wZYUyFKqR.bin,20230508150035,2,,62569,1,Internal,1000000000,-05:00,2023050810013826901,ctmag